Artikel;Netto;Name DE;Text DE;Name EN;Text EN;Name FR;Text FR;Name IT;Text IT;Name SL;Text SL;Name ES;Text ES;Name NL;Text NL;Name DA;Text DA;Name FI;Text FI;Name SV;Text SV;Bild;Rabattgruppe;Gewicht;id;
07-1000938;68,70;Vorbrenndüse rechts TDS 120-180kW;;Pre-burn nozzle right TDS 120-180kW;;Gicleur de précombustion ET TDS 120-180kW;;Ugello di precombustione destro TDS 120-180kW;;Predzgorevalna puša desno TDS 120–180kW;;Tobera precombustión derecha TDS 120-180kW;;;;;;;;;;;Ersatzt;1,07;435962;
07-1000946;68,70;Vorbrenndüse links TDS 120-180kW;;Pre-burn nozzle left TDS 120-180kW;;Gicleur de précombustion à gauche ET TDS 120-180kW;;Ugello di precombustione sinistro TDS 120-180kW;;Predzgorevalna puša levo TDS 120–180kW;;Tobera precombustión izquierda TDS 120-180kW;;;;;;;;;;;Ersatzt;1,07;435963;
07-1000948;72,50;Düsenblechhalterung;;nozzle plate clamp                                             ;;Support de plaque de gicleur;;Supporto ugelli;;Držalo ploš?e puše;;Sujección chapa de toberas;;;;;;;;;;;Ersatzt;1,39;435964;
07-1000949;115,80;Düsenblechpaket;;nozzle plate packet                                            ;;Ensemble de plaques à gicleurs;;Pacchetto ugelli;;Paket ploš?e puše;;Paquete chapa de toberas;;;;;;;;;;;Ersatzt;1,99;435965;
07-1000953;32,90;Scharnier Kesseltür schwarz lackiert;;Hinge boiler door varnished black;;Charnière porte de chaudière peinte en noir;;Cerniera della porta della caldaia nera verniciata;;Te?aj za vrata kotla, ?rn lakiran;;Bisagra para puerta de caldera pintada en negro;;;;;;;;;;;Ersatzt;0,93;435966;
07-1000958;32,70;Scharnier Kesseltür;;Hinge, boiler door;;Charnière porte de chaudière;;Cerniera della porta della caldaia;;Te?aj za vrata kotla;;Bisagra puerta de la caldera negro lacado;;;;;;;;;;;Ersatzt;2,06;435967;
07-1000971;4,40;Gewindestange M16, L=140mm;;threaded rod M16, L=140mm                                      ;;Tige filetée M16, L=140mm;;Barra filettata M16, L=140mm;;Navojna palica M16, L=140mm;;Vástago roscado M16, L=140mm;;;;;;;;;;;Ersatzt;0,05;438184;
07-1000973;158,90;Türeinsatz Niro 3x175,2x1038,2;;Door insert stainless 3x175.2x1038.2;;Élément de porte Niro 3x175,2x1038,2;;Elemento porta Niro 3x175,2x1038,2;;Vložek za vrata, Niro 3x175,2x1038,2;;Pieza de puerta Niro 3x175,2x1038,2;;;;;;;;;;;Ersatzt;4,38;435968;
07-1000975;420,30;Kesseltür TDS;;boiler door TDS                                                ;;Porte de chaudière TDS;;Porta della caldaia TDS;;Vrata kotla TDS;;Puerta de la caldera TDS;;;;;;;;;;;Ersatzt;21,94;435969;
07-1000977;7,40;Steinwollplatte Kesseltür 30x360x415mm;;Mineral wool panel, boiler door 30x360x415mm                   ;;Plaque laine de roche (porte de chaudière 30x360x415mm;;Piastra in lana minerale porta della caldaia 30x360x415mm;;Izolirna ploš?a za vrata kotla 30x360x415mm, kamena volna;;Placa de lana mineral para puerta de caldera 30x360x415 mm;;;;;;;;;;;Ersatzt;0,24;435970;
07-1000979;10,60;Vermiculiteplatte Kesseltür 40x191x323mm;;Vermiculite board for boiler door, 40x191x323 mm;;Plaque en vermiculite porte de la chaudière 40 x 191 x 323 mm;;Piastra in vermiculite portella della caldaia 40x191x323mm;;Izolirna ploš?a za vrata kotla 40x191x323mm, vermikulitna;;Placa vermiculita puerta de la caldera 40x191x323mm TDS;;;;;;;;;;;Ersatzt;1,17;435971;
07-1000980;240,00;Formstein Deckel TDS 120-180KW;;Moulded brick for cover TDS 120-180 KW;;Brique couvercle TDS 120-180KW;;Refrattario del coperchio TDS 120-180KW;;Zidak, pokrov TDS 120–180kW;;Pieza hormigón refractario perfilada cubierta TDS 120-180KW;;;;;;;;;;;Ersatzt;23,80;435972;
07-1000981;133,00;Formstein Deckel TDS 120-180KW;;Moulded brick for cover TDS 120-180 KW;;Brique couvercle TDS 120-180KW;;Refrattario del coperchio TDS 120-180KW;;Zidak, pokrov TDS 120–180kW;;Pieza hormigón refractario perfilada cubierta TDS 120-180KW;;;;;;;;;;;Ersatzt;13,05;435973;
07-1000982;200,70;Formstein Deckel TDS 120-180KW;;Moulded brick for cover TDS 120-180 KW;;Brique couvercle TDS 120-180KW;;Refrattario del coperchio TDS 120-180KW;;Zidak, pokrov TDS 120–180kW;;Pieza hormigón refractario perfilada cubierta TDS 120-180KW;;;;;;;;;;;Ersatzt;19,35;435974;
07-1000983;311,60;Formstein Brennraum TDS 120-180KW;;Moulded brick for combustion chamber TDS 120-180 KW;;Brique chambre de combustion TDS 120-180KW;;Refrattario della camera d combustione TDS 120-180KW;;Zidak, zgorevalni prostor TDS 120–180kW;;Ladrillo moldeado cámara de combustión TDS 120-180KW;;;;;;;;;;;Ersatzt;30,90;435975;
07-1000984;153,90;Formstein Brennraum TDS 120-180KW;;Moulded brick for combustion chamber TDS 120-180 KW;;Brique chambre de combustion TDS 120-180KW;;Refrattario della camera d combustione TDS 120-180KW;;Zidak, zgorevalni prostor TDS 120–180kW;;Ladrillo moldeado cámara de combustión TDS 120-180KW;;;;;;;;;;;Ersatzt;15,10;435976;
07-1000985;251,20;Formstein Brennraum;;Moulded brick for combustion chamber;;Brique chambre de combustion;;Refrattario della camera di combustione;;Zidak, zgorevalni prostor;;Ladrillo moldeado cámara de combustión;;;;;;;;;;;Ersatzt;24,45;435977;
07-1000987;139,80;Formstein Brennraum;;Moulded brick for combustion chamber;;Brique chambre de combustion;;Refrattario della camera di combustione;;Zidak, zgorevalni prostor;;Ladrillo moldeado cámara de combustión;;;;;;;;;;;Ersatzt;7,60;435978;
07-1000988;143,80;Formstein Brennraum;;Moulded brick for combustion chamber;;Brique chambre de combustion;;Refrattario della camera di combustione;;Zidak, zgorevalni prostor;;Ladrillo moldeado cámara de combustión;;;;;;;;;;;Ersatzt;7,32;435979;
07-1000989;125,10;Formstein Brennraum TDS 120-180KW;;Moulded brick for combustion chamber TDS 120-180 KW;;Brique chambre de combustion TDS 120-180KW;;Refrattario della camera d combustione TDS 120-180KW;;Zidak, zgorevalni prostor TDS 120–180kW;;Ladrillo moldeado cámara de combustión TDS 120-180KW;;;;;;;;;;;Ersatzt;12,15;435980;
07-1000990;189,40;Formstein Düse TDS 150KW;;Moulded brick nozzle TDS 150KW;;Brique gicleur TDS 150kW;;Refrattario ugello TDS 150KW;;Zidak, puša TDS 150kW;;Pieza hormigón refractario perfilada tobera TDS 120-180KW;;;;;;;;;;;Ersatzt;14,40;435981;
07-1000991;18,90;Formstein Brennraum TDS 120-180KW;;Moulded brick for combustion chamber TDS 120-180 KW;;Brique chambre de combustion TDS 120-180KW;;Refrattario della camera d combustione TDS 120-180KW;;Zidak, zgorevalni prostor TDS 120–180kW;;Ladrillo moldeado cámara de combustión TDS 120-180KW;;;;;;;;;;;Ersatzt;1,55;435982;
07-1000992;51,40;Formstein Deckel TDS 120-180KW;;Moulded brick for cover TDS 120-180 KW;;Brique couvercle TDS 120-180KW;;Refrattario del coperchio TDS 120-180KW;;Zidak, pokrov TDS 120–180kW;;Pieza hormigón refractario perfilada cubierta TDS 120-180KW;;;;;;;;;;;Ersatzt;4,25;435983;
07-1000993;41,10;Formstein Deckel TDS 120-180KW;;Moulded brick for cover TDS 120-180 KW;;Brique couvercle TDS 120-180KW;;Refrattario del coperchio TDS 120-180KW;;Zidak, pokrov TDS 120–180kW;;Pieza hormigón refractario perfilada cubierta TDS 120-180KW;;;;;;;;;;;Ersatzt;3,40;435984;
07-1000994;33,80;Formstein Deckel TDS 120-180KW;;Moulded brick for cover TDS 120-180 KW;;Brique couvercle TDS 120-180KW;;Refrattario del coperchio TDS 120-180KW;;Zidak, pokrov TDS 120–180kW;;Pieza hormigón refractario perfilada cubierta TDS 120-180KW;;;;;;;;;;;Ersatzt;2,80;435985;
07-1000995;48,80;Formstein Deckel TDS 120-180KW;;Moulded brick for cover TDS 120-180 KW;;Brique couvercle TDS 120-180KW;;Refrattario del coperchio TDS 120-180KW;;Zidak, pokrov TDS 120–180kW;;Pieza hormigón refractario perfilada cubierta TDS 120-180KW;;;;;;;;;;;Ersatzt;4,05;435986;
07-1000996;163,50;Formstein Rohr Nachverbrennung;;Moulded brick for pipe for post-combustion;;Brique tube post-combustion;;Mattone sagomato tubo combustione secondaria;;Zidak, dogorevalna cev;;Ladrillo moldeado tubo de postcombustión;;;;;;;;;;;Ersatzt;14,35;435987;
07-1000997;105,20;Formstein Rauchgasrezirkulat. TDS 120-18;;fire clay flue-gas recirculation TDS 120-180 kW                ;;Brique recyclage des fumées TDS 120-18;;Refrattario sist. di ricircolaz. del gas combusto TDS 120-18;;Zidak, recirkulacija dimnih plinov TDS 120-18;;Ladrillo moldeado recirculación de gases de humo TDS 120-18;;;;;;;;;;;Ersatzt;8,75;435988;
07-1000998;6,60;Abdeckung Lichtschranken 36x40x86 TDS;;Cover for light barriers 36x40x86 TDS;;Couvercle des barrières photoélectriques 36x40x86 TDS;;Copertura fotocellule 36x40x86 TDS;;Pokrov fotocelice 36x40x86 TDS;;Sensores de puerta TDS 36x40x86 ;;;;;;;;;;;Ersatzt;0,05;435989;
07-1001000;15,10;Isolierplatte Deckel;;Insulation plate cover;;Plaque isolante couvercle;;Piastra isolante coperchio;;Izolirna ploš?a, pokrov;;Placa aislante cubierta 40x360x425mm;;;;;;;;;;;Ersatzt;2,27;435990;
07-1001002;15,40;Isolierplatte Deckel;;Insulation plate cover;;Plaque isolante couvercle;;Piastra isolante coperchio;;Izolirna ploš?a, pokrov;;Placa aislante cubierta 40x343,67x425mm;;;;;;;;;;;Ersatzt;1,80;435991;
07-1001013;51,00;Antriebsflansch Drehrostschn. schwarz la;;Drive flange rotary grate screw varnished black;;Bride entraînement vis de grille tournante, peinte en noir;;Flangia di azionamento coclea griglia girevole nera verniciata;;Prirobnica pogonske gredi, polž vrtljive rešetke, ?rna lakirana;;Brida de accionamiento sinfín de parrilla giratoria negra;;;;;;;;;;;Ersatzt;1,51;435992;
07-1001019;312,20;Rostabräumschnecke TDS 120-180kW;;Grate cleaning screw TDS 120-180kW;;Vis de décendrage de grille TDS 120-180kW;;Coclea di sgombero della griglia TDS 120-180kW;;Posnemalni polž vrtljive rešetke TDS 120–180kW;;Sinfín de descarga de parrilla TDS 120-180kW;;;;;;;;;;;Ersatzt;6,63;435993;
07-1001035;102,80;Aschering Brenntasse Form E Gussausführung;;Ash ring burner cup form E cast iron construction;;Anneau de décendrage assiette de comb. forme E modèle fonte;;Anello cenere piatto di combustione forma E versione in ghisa;;Obro? za pepel, gorilni krožnik, oblika E, iz litine;;Anillo ceniza plato de combustión Form E tipo fundición;;;;;;;;;;;Ersatzt;6,77;435994;
07-1001067;3,90;Schraublasche - Nachrüst;;Screw clip - upgrade;;Patte vissable - post-équipement;;Occhiello - riequipaggiamento;;Navojni jezi?ek, komplet za dogradnjo;;Lengüeta roscada - reequipamiento;;;;;;;;;;;Ersatzt;0,12;435995;
07-1001068;4,20;Trabezversteifung - Nachrüst 8x55x25;;Trapeze bracing - upgrade 8x55x25;;Renforcement trapézoïdal - post-équipement 8x55x25;;Rinforzo trapezoidale - riequipaggiamento 8x55x25;;Trapezna oja?itev, komplet za dogradnjo 8x55x25;;Refuerzo trapezoidal, reequipamiento 8x55x25;;;;;;;;;;;Ersatzt;0,06;435996;
07-1001069;3,90;Distanzhülse - Nachrüst Ø20x4.5, L=22;;Spacer sleeve - upgrade Ø20x4.5, l=22;;Douille d'écartement - post-équipement Ø20x4.5, L=22;;Bussola distanziatrice - riequipaggiamento Ø20x4.5, L=22;;Distan?ni tulec, dogradnja Ø20x4,5 L=22;;Casquillo separador, reequipamiento Ø20x4.5, L=22;;;;;;;;;;;Ersatzt;0,04;435997;
07-1001071;2,80;Distanzblech 3x40x50;;spacer plate 3x40x50                                           ;;Tôle intercalaire 3x40x50                                      ;;Lamiera distanziatrice 3x40x50;;Distan?na ploš?a 3x40x50;;Chapa separadora 3x40x50;;;;;;;;;;;Ersatzt;0,04;435998;
07-1001072;173,50;Düsenblechgruppe TDS150;;Nozzle plate group TDS150;;Groupe de plaques à gicleurs TDS 150;;Gruppo ugelli TDS150;;Skupina ploš?e puše TDS150;;Boquilla placa grupo TDS150;;;;;;;;;;;Ersatzt;;435999;
07-1001075;140,30;Stokerschnecke USP 10-20KW für Kugelhahnbrenner;;Stoker screw USP 10-20kW spherical valve burner;;Vis alim. USP 10-20KW pour brûleur vanne à bille;;Coclea di alimentazione USP 10-20KW p. bruciatore con rubinetto;;Stoker-polž USP 10–20kW za gorilnik s krogelnim ventilom;;Canal cargador USP 10-20KW quemador de llave esférica;;;;;;;;;;;Ersatzt;2,42;436000;
07-1001076;89,80;Stokerschnecke USP 25-30KW für Kugelhahnbrenner;;Stoker screw USP 25-30KW spherical valve burner;;Vis alim. USP 25-30KW pour brûleur vanne à bille;;Coclea di alimentazione USP 25-30KW p. bruciatore con rubinetto;;Stoker-polž USP 25–30kW za gorilnik s krogelnim ventilom;;Canal cargador USP 25-30KW quemador de llave esférica;;;;;;;;;;;Ersatzt2;2,49;436001;
07-1001106;57,40;Ascheringsegment Brennrost;;Ash ring segment of the rotary grate;;Segment d’anneau de décendrage grille de combustion            ;;Segmento anello cenere della griglia;;Segment obro?a za pepel, gorilna rešetka;;Anillo de ceniza de la quema de óxido segmento TDS 150kW;;;;;;;;;;;Ersatzt;1,56;436002;
07-1001107;71,40;Ascheringsegment TDS 150kW;;Ash ring segment TDS 150kW;;Segment d’anneau de décendrage TDS 150kW                       ;;Segmento anello della cenere TDS 150kW;;Segment obro?a za pepel TDS 150kW;;Segmento de anillo de ceniza TDS 150kW;;;;;;;;;;;Ersatzt;1,62;436003;
07-1001111;14,80;Zündrohr Gussbrenntasse B&C;;Ignition tube, cast burner cup B&C                             ;;Conduit d'allumage assiette de combustion en fonte B&C;;Tubo di accensione piatto di combustione in ghisa B&C;;Vžigalna cev, gorilni krožnik, litina B&C;;Tubo de encendido plato de combustión de fundición B&C;;;;;;;;;;;Ersatzt;0,04;436004;
07-1001120;33,50;Dichtleiste links;;Sealing strip, left                                            ;;Barrette d’étanchéité à gauche                                 ;;Listello di tenuta sinistro;;Tesnilna letev levo;;Regleta de obturación izq.;;;;;;;;;;;Ersatzt;2,37;436005;
07-1001121;38,90;Dichtleiste vorne;;Sealing strip, front                                           ;;Barrette d’étanchéité devant                                   ;;Listello di tenuta anteriore;;Tesnilna letev spredaj;;Regleta de obturación delantera;;;;;;;;;;;Ersatzt;2,80;436006;
07-1001122;33,50;Dichtleiste Kesselteile;;Sealing strip, boiler components                               ;;Barrette d’étanchéité éléments de chaudière                    ;;Listello di tenuta per parti della caldaia;;Tesnilna letev, deli kotla;;Regleta de obturación piezas de caldera;;;;;;;;;;;Ersatzt;2,38;436007;
07-1001129;10,10;Deckel Rauchgas-Rezi. Flammrohrteil TDS;;Cover, exhaust gas receiver, Flame tube section TDS;;Couvercle recyclage de fumées Élément de tête brûleur TDS;;Coperchio sistema di ricircolaz. gas combusto Tubo focolare TDS;;Pokrov rec. dimnih plinov, plamenica TDS;;Tapa recirc. gas de humo Pieza tubo de llama TDS;;;;;;;;;;;Ersatzt;0,70;438985;
07-1001134;170,50;Deckelstein Brennraum;;Moulded brick, combustion chamber;;Brique de couvercle chambre de combustion;;Mattone di copertura camera di combustione;;Kamen oblikovni, zgorevalni prostor;;Ladrillo de remate cámara de combustión;;;;;;;;;;;Ersatzt;13,80;436008;
07-1001135;85,20;Formstein Brennraum Feuerfestauskleidung;;Moulded brick, fireproof burner chamber lining                 ;;Brique chambre de combustion revêtement réfractaire;;Refrattario camera di combustione rivestimento ignifugo;;Zidak, zgorevalni prostor, nepregorna obloga;;Ladrillo moldeado cámara de combustión revestim. ignífugo;;;;;;;;;;;Ersatzt;8,20;436009;
07-1001136;174,60;Formstein Brennraum;;Moulded brick for combustion chamber;;Brique chambre de combustion;;Refrattario della camera di combustione;;Zidak, zgorevalni prostor;;Ladrillo moldeado cámara de combustión;;;;;;;;;;;Ersatzt;17,25;436010;
07-1001137;73,90;Formstein Brennraum Feuerfestauskleidung;;Moulded brick, fireproof burner chamber lining                 ;;Brique chambre de combustion revêtement réfractaire;;Refrattario camera di combustione rivestimento ignifugo;;Zidak, zgorevalni prostor, nepregorna obloga;;Ladrillo moldeado cámara de combustión revestim. ignífugo;;;;;;;;;;;Ersatzt;7,05;436011;
07-1001139;55,90;Bodenstein Brennraum Feuerfest;;Floor brick, fireproof, combustion chamber;;Plaque de fond chambre de combustion réfractaire;;Mattone di fondo camera di combustione ignifugo;;Talni zidak, zgorevalni prostor, nepregorna obloga;;Ladrillo de base cámara de combustión ignífugo;;;;;;;;;;;Ersatzt;3,98;436012;
07-1001140;34,80;Bodenstein Brennraum Feuerfestauskleidun;;Floor brick, fireproof combustion chamber lining;;Plaque de fond chambre de combustion revêtement réfractaire;;Mattone di fondo camera di combustione rivestimento ignifugo;;Talni zidak, zgorevalni prostor, nepregorna obloga;;Ladrillo de base cámara de combustión revestim. ignífugo;;;;;;;;;;;Ersatzt;3,15;436013;
07-1001142;113,40;Formstein Flammrohr;;Flame tube moulded brick;;Brique tête de brûleur;;Refrattario tubo focolare;;Zidak, plamenica;;Ladrillo moldeado tubo de llama;;;;;;;;;;;Ersatzt;10,40;436014;
07-1001143;274,60;Formstein Flammrohr;;Flame tube moulded brick;;Brique tête de brûleur;;Refrattario tubo focolare;;Zidak, plamenica;;Ladrillo moldeado tubo de llama;;;;;;;;;;;Ersatzt;22,20;436015;
07-1001146;82,90;Formstein Flammrohr Feuerfestauskleidung;;Moulded brick, flame tube fireproof lining;;Brique tête de brûleur revêtement réfractaire;;Mattone sagomato tubo focolare rivestimento ignifugo;;Zidak, plamenica, nepregorna obloga;;Ladrillo moldeado tubo de llama revestim. ignífugo;;;;;;;;;;;Ersatzt;7,95;436016;
07-1001147;71,70;Formstein Flammrohr;;Flame tube moulded brick;;Brique tête de brûleur;;Refrattario tubo focolare;;Zidak, plamenica;;Ladrillo moldeado tubo de llama;;;;;;;;;;;Ersatzt;7,20;436017;
07-1001148;69,60;Formstein Flammrohr Feuerfesta;;Moulded brick, flame tube fireproof lining;;Brique tête de brûleur revêtement réfractaire;;Mattone sagomato tubo focolare rivestimento ignifugo;;Zidak, plamenica, nepregorna obloga;;Ladrillo moldeado tubo de llama rev. ignífugo;;;;;;;;;;;Ersatzt;6,75;436018;
07-1001149;95,90;Formstein Flammrohr Feuerfestauskleidung;;Moulded brick, flame tube fireproof lining;;Brique tête de brûleur revêtement réfractaire;;Mattone sagomato tubo focolare rivestimento ignifugo;;Zidak, plamenica, nepregorna obloga;;Ladrillo moldeado tubo de llama revestim. ignífugo;;;;;;;;;;;Ersatzt;9,40;436019;
07-1001150;205,00;Formstein Flammrohr Feuerfestauskleidung;;Moulded brick, flame tube fireproof lining;;Brique tête de brûleur revêtement réfractaire;;Mattone sagomato tubo focolare rivestimento ignifugo;;Zidak, plamenica, nepregorna obloga;;Ladrillo moldeado tubo de llama revestim. ignífugo;;;;;;;;;;;Ersatzt;20,30;436020;
07-1001151;89,00;Formstein;;Moulded brick                                                  ;;Brique;;Refrattario;;Oblikovni kamen;;Ladrillo moldeado;;;;;;;;;;;Ersatzt;10,09;436021;
07-1001153;143,90;Formstein Flammrohr Feuerfestauskleidung;;Moulded brick, flame tube fireproof lining;;Brique tête de brûleur revêtement réfractaire;;Mattone sagomato tubo focolare rivestimento ignifugo;;Zidak, plamenica, nepregorna obloga;;Ladrillo moldeado tubo de llama revestim. ignífugo;;;;;;;;;;;Ersatzt;14,20;436022;
07-1001155;54,40;Formstein Flammrohr;;Moulded brick, flame tube fireproof lining;;Brique tête de brûleur revêtement réfractaire;;Mattone sagomato tubo focolare rivestimento ignifugo;;Zidak, plamenica, nepregorna obloga;;Ladrillo moldeado tubo de llama revestim. ignífugo;;;;;;;;;;;Ersatzt;4,75;436023;
07-1001157;177,20;Formstein Flammrohr;;Flame tube moulded brick;;Brique tête de brûleur;;Refrattario tubo focolare;;Zidak, plamenica;;Ladrillo moldeado tubo de llama;;;;;;;;;;;Ersatzt;14,60;436024;
07-1001158;137,10;Düsenstein Deckel Feuerfestauskleidung F;;Nozzle brick cover fireproof lining flame tube;;Bloc de brûleur couvercle revêtement réfractaire tête brûleur;;Mattore portaugelli coperchio rivestim. ignifugo tubo focolare;;Pušni blok, pokrov, nepregorna obloga, plamenica;;Bloque de boquillas tapa revestim. ignífugo;;;;;;;;;;;Ersatzt;13,50;436025;
07-1001160;63,50;Formstein Flammrohr Feuerfestauskleidung;;Moulded brick, flame tube fireproof lining;;Brique tête de brûleur revêtement réfractaire;;Mattone sagomato tubo focolare rivestimento ignifugo;;Zidak, plamenica, nepregorna obloga;;Ladrillo moldeado tubo de llama revestim. ignífugo;;;;;;;;;;;Ersatzt;6,00;436026;
07-1001161;52,40;Formstein Flammrohr Feuerfestauskleidung;;Moulded brick, flame tube fireproof lining;;Brique tête de brûleur revêtement réfractaire;;Mattone sagomato tubo focolare rivestimento ignifugo;;Zidak, plamenica, nepregorna obloga;;Ladrillo moldeado tubo de llama revestim. ignífugo;;;;;;;;;;;Ersatzt;2,30;436027;
07-1001162;120,30;Formstein Flammrohr Feuerfestauskleidung;;Moulded brick, flame tube fireproof lining;;Brique tête de brûleur revêtement réfractaire;;Mattone sagomato tubo focolare rivestimento ignifugo;;Zidak, plamenica, nepregorna obloga;;Ladrillo moldeado tubo de llama revestim. ignífugo;;;;;;;;;;;Ersatzt;11,70;436028;
07-1001163;154,40;Formstein Flammrohr Feuerfestauskleidung;;Moulded brick, flame tube fireproof lining;;Brique tête de brûleur revêtement réfractaire;;Mattone sagomato tubo focolare rivestimento ignifugo;;Zidak, plamenica, nepregorna obloga;;Ladrillo moldeado tubo de llama revestim. ignífugo;;;;;;;;;;;Ersatzt;15,10;436029;
07-1001177;434,70;Drehscheibe Drehrost 300;;Turntable, rotary grate 300                                    ;;Disque rotatif grille tournante 300;;Disco rotante griglia girevole 300;;Vrtljiva ploš?a, vrtljiva rešetka 300;;Disco giratorio parrilla giratoria 300;;;;;;;;;;;Ersatzt;15,58;436030;
07-1001178;109,30;Antriebsrohr Brennrost TDS 300kW;;Drive pipe, rotary grate TDS 300kW;;Tube d'entraînement grille de combustion TDS 300kW;;Tubo di trasmissione griglia TDS 300kW;;Pogonska cev, rešetka gorilnika TDS 300kW;;Tubo de accionamiento rejilla de combustión TDS 300kW;;;;;;;;;;;Ersatzt;1,69;436031;
07-1001181;10,90;Luftbegrenzung Brennrost TDS 300kW;;Air flow restriction rotary grate TDS 300kW;;Limitation d'air grille de combustion TDS 300kW;;Limitazione dell'aria griglia di combustione TDS 300kW;;Omej. zraka, rešetka gorilnika TDS 300kW;;Limitación de aire rejilla de combustión TDS 300kW;;;;;;;;;;;Ersatzt;1,04;436032;
07-1001182;49,90;Ascheringsegment;;Ash ring segment                                               ;;Segment d'anneau de décendrage                                 ;;Segmento anello della cenere;;Segment obro?a za pepel;;Segmento de anillo de ceniza;;;;;;;;;;;Ersatzt;2,13;436033;
07-1001183;39,70;Ascheringsegment Brennrost;;Ash ring segment of the rotary grate;;Segment d’anneau de décendrage grille de combustion;;Segmento anello cenere della griglia;;Segment obro?a za pepel, gorilna rešetka;;Segmento de anillo de ceniza rejilla de combustión;;;;;;;;;;;Ersatzt;2,14;436034;
07-1001187;120,10;Adapterflansch Gusskopf Stokerrohr Com2;;Adapter flange cast iron head stoker tube Com2;;Bride adaptateur tête en fonte Conduite d'alimentation Com2;;Flangia di adattamento tazza in ghisa tubo stoker Com2;;Nas. prirobnica iz litine, cev stokerja Com2;;Brida adaptadora cabezal de fundición tubo cargador Com2;;;;;;;;;;;Ersatzt;1,48;436035;
07-1001201;89,50;Lagerhülse f. Gleitlagerbuchse Br. USP;;Bearing sleeve f. slide bearing bushing w. USP 1               ;;Douille de palier pour palier lisse br. USP 1;;Bronzina per bussola del cuscinetto radente br. USP 1;;Stro?nica ležaja za pušo drsnega ležaja gor. USP 1;;Casquillo de apoyo para rodamiento USP 1;;;;;;;;;;;Ersatzt;0,02;436036;
07-1001203;56,20;Motorabdeckung Brenntassenreinigung Brenner USP 10-30kW;;Motor cover, burner cup cleaner, burner USP 10-30kW            ;;Cache moteur nettoyage d'assiette de comb. brûleur USP 10-30kW;;Copertura motore pulizia piatto di comb. bruciatore USP 10-30kW;;Pokrov motorja, ?iš?. gor. krožnika, gorilnik USP 10–30kW;;Cubierta de motor limpieza plato comb. quemador USP 10-30kW;;;;;;;;;;;Ersatzt;0,42;436037;
07-1001204;39,20;Motorflansch Schweißz. Brenntassenreinig;;Motor flange, welding drawing burner cup cleaner               ;;Bride moteur schéma de soud. Nettoy. assiette de comb.;;Flangia motore schema saldature pulizia piatto di combust.;;Prirobnica motorja, skica varjenja ?iš?enje gorilnega krožnika;;Esquema soldadura brida de motor Limpieza plato de combustión;;;;;;;;;;;Ersatzt;0,44;436038;
07-1001215;57,70;Halterung Türscharnier;;Door hinge bracket                                             ;;Support charnière de porte                                     ;;Supporto cerniera della porta;;Držalo te?aja vrat;;Soporte para bisagra de puerta;;;;;;;;;;;Ersatzt;0,08;436039;
07-1001217;53,00;Schiene TDS 300kW;;Rail, TDS 300kW                                                ;;Rail TDS 300kW                                                 ;;Guida TDS 300kW;;Vodilo TDS 300kW;;Riel TDS 300kW;;;;;;;;;;;Ersatzt;3,94;436040;
07-1001218;66,80;Schienenblech Schweißzeichnung TDS 300kW;;Rail plate welding drawing TDS 300kW;;Tôle de glissière schéma de soudure TDS 300kW                  ;;Guida in lamiera schema saldature TDS 300kW;;Ploš?a vodila, skica varjenja, TDS 300kW;;Esquema de soldadura chapa de carril TDS 300kW;;;;;;;;;;;Ersatzt;4,19;436041;
07-1001228;141,70;"Flanschanschluss 3""";;"Flange connector 3""                                            ";;"Raccordement par bride 3""                                      ";;"Collegamento flangia 3""";;"Prirobni?ni priklju?ek 3""";;"Conexión abridada 3""";;;;;;;;;;;Ersatzt;4,40;436042;
07-1001251;2.656,10;Pelletsbrenner 10-20kW vorm., für S u. R mit Drehrost;;Pellet burner 10-20kW pre-assembled, for S&R with rotary grate;;Brûleur gran. 10-20kW prém. pr chaudière S & R à grille tourn.;;Bruciatore pellet 10-20kW prem., per S e R con griglia girevole;;Gorilnik za pelete 10–20kW, v. mon., za S in R z vrt. reš.;;Quemador de pellets 10-20kW Ex, para S y R con Rotary reja;;;;;;;;;;;Ersatzt;40,00;436043;
07-1001252;2.549,00;Pelletsbrenner 10-20kW vorm., für GS/L u. V mit Drehrost;;Pellet burner 10-20kW pre-assembled f. GS/L&V + rotary grate;;Brûleur gran. 10-20kW prém. chaudière GS/L & V à grille tourn.;;Bruciatore pellet 10-20kW prem., per GS/L e V con griglia gir.;;Gorilnik za pelete 10–20kW, v. mon., za GS/L in V z vrt. reš.;;Quem. pellets 10-20kW premont., para GS/L y V c/parrilla girat.;;;;;;;;;;;Ersatzt;40,00;436044;
07-1001253;2.949,70;Pelletsbrenner 25-30kW vorm., für S u. R mit Drehrost;;Pellet burner 25-30kW pre-assembled, for S&R with rotary grate;;Brûleur gran. 25-30kW prém. pr chaudière S & R à grille tourn.;;Bruciatore pellet 25-30kW prem., per S e R con griglia girevole;;Gorilnik za pelete 25–30kW, v. mon., za S in R z vrt. reš.;;Quem. pellets 25-30kW premont., para S y R c/parrilla giratoria;;;;;;;;;;;Ersatzt;41,00;436045;
