Artikel;Netto;Name DE;Name EN;Name ES;id
14-1000130;31,00;Kondensator 4yF Hanning ab 2001, US 80-100kW;Condenser 4yF Hanning from 2001, US 80-100kW;Condensador 4yF Hanning a partir 2001, US 80-100kW;354648
14-1000134;22,60;Kondensator 6yF  f�r ABM FGA 103;Condenser 6yF for ABM FGA 103;Condensador 6,yF;354650
14-1000136;188,60;Radialgebl�se mit Schutzgitter u. Hall;Radial fan with protective grid + Hall;Ventilador radial con rejilla prot. y sensor Hall;354651
14-1000138;593,80;Getriebemotor 0,25kW - TDS Ascheaustr.;Drive motor 0.25kW ABM TDS ash extraction external;Motor reductor 0,25kW ABM, TDS extracci�n de ceniza externa;354652
14-1000140;78,10;Heizelement 230V/1000W Leister;Heating element 230V/1000W Leister                             ;Calefactor Leister 230V/1000W;354653
14-1000142;512,60;Sauger f�r Pellets vormontiert;Vacuum for pellets pre-assembled;Aspirador para pellets premontado;354654
14-1000144;119,70;L�fterrad Saugzug LAFERT, SHV;Induced draught fan impeller LAFERT, SHV;Ventilador Saugzug LAFERT, SHV;354655
14-1000145;874,80;Stirnradgetriebemotor 1,5kW;Spur wheel back-geared motor 1.5kW fuel extraction TDS300;Espacio de acogida helicoidal TDS300 1,5 kW ;354656
14-1000146;109,00;Unterteil Staubsauger f�r Pellets;Bottom part vacuum for pellets;Parte inferior aspirador para pellets;354657
14-1000147;109,00;Getriebemotor SPG;SPG drive motor                                                ;Motor SPG;354658
14-1000148;101,60;L�fterhaube f�r 4 und 5,5 kW  Aufsteckgetriebemotor;Fan hood for 4 and 5.5 kW slip-on gear motor                   ;Cubierta ventilador para motor reductor desmontable 4 y 5,5 kW;354659
14-1000149;226,00;Saugturbine vormontiert, 2-Schlauchsystem;Suction turbine pre-assembled, 2-hose system;Turbina de aspiraci�n premontada, sistema 2 mangueras;354660
14-1000150;1.944,00;Saugzugventilator TDS300, vormontiert;Induced draught fan TDS300, pre-assembled;Ventilador de tiro de succi�n TDS300, premontado;354661
14-1010002;423,10;Getriebemotor 0,04kW ABM;Geared motor 0.04 kW ABM                                       ;Motor reductor 0,04kW ABM;354662
14-1010004;2.278,80;Aufsteckgetriebemotor 5,5kW EX;Slip-on gear motor 5.5 kW EX                                   ;Motor reductor desmontable 5,5kW EX;354663
14-1010006;405,10;Getriebemot. 0,04kW ABM mit H.;Drive motor 0.04kW ABM with Hall sensor;Motor reductor 0,04kW ABM con H.;354664
14-1010007;449,70;Getriebemot. 0,04kW ABM mit H.;Drive motor 0.04kW ABM with Hall sensor;Motor principal 0,04KW ABM con Hall sensor para EF;354665
14-1010008;471,60;Z�ndgebl�se Leister IGNITER BM4;Ignition fan, Leister IGNITER BM4                              ;Ventilador de encendido Leister IGNITER BM4;354666
14-1010009;305,50;Federr�cklaufmotor Belimo SF230A-S2;Spring return motor Belimo SF230A-S2                           ;Motor de retorno por resorte Belimo SF230A-S2;354667
14-1010014;199,50;Gebl�se Saugzug RL-U 150;Fan induced draught RL-U 150;Ventilador tiro de succi�n RL-U 150;354668
14-1010015;304,60;Gebl�se Saugzug RL-U 180;Fan induced draught RL-U 180;Ventilador tiro de succi�n RL-U 180;354669
14-1010016;435,30;Radialgebl�se R2E210-AA34-14;Radial fan R2E210-AA34-14;Ventilador radial R2E210-AA34-14;354670
14-1010020;67,20;L�fterrad Saugzug ebm f�r R2E180;Induced draft impeller ebm for R2E180;Rodete ventilador tiro de succi�n ebm para R2E180;356610
14-1010025;740,00;Stirnradgetriebemotor 0,25kW FU;Spur wheel back-geared motor 0.25kW FU;Motor reductor de engranajes rectos 0,25kW conv. frec.;355697
14-1010027;779,80;Stirnradgetriebemotor 0,75kW FU;Spur wheel back-geared motor 0.75kW FU;Motor reductor de engranajes rectos 0,75kW conv. frec.;354671
14-1010032;109,00;Getriebemotor;Drive motor;Motorreductor;354672
14-1010036;565,80;Umw�lzpumpe 180/30/1-8;Circulation pump 180/30/1-8;Bomba de recirculaci�n 180/30/1-8;354673
14-1010037;255,50;Umw�lzpumpe 130/25/7,5;Circulation pump 130/25/7.5;Bomba de recirculaci�n 130/25/7,5;354674
14-1010038;211,90;Stellmotor Belimo komplett;Servomotor Belimo complete;Servomotor Belimo completo;354675
14-1010040;927,30;Umw�lzpumpe 180/30/1-12;Circulation pump 180/30/1-12;Bomba de recirculaci�n 180/30/1-12;354676
14-1010043;353,40;Radialgebl�se G2E140 mit Hallsensor;Radial fan G2E140 with hall sensor;Ventilador radial G2E140 con sensor Hall;354677
14-1010044;758,70;Saugzuggebl�se R2E250;Induced draught fan R2E250;;355587
14-1010045;423,10;Getriebemotor FGA103 komplett;Gear unit motor FGA103 complete;Motor reductor FGA103 completo;354678
14-1010046;395,20;Schrittmotor M12 inkl. Getriebe;Multi-phase motor M12 incl. gear unit;Motor paso a paso M12 con engranaje;354679
14-1010052;366,50;Schrittmotor M12 4polig;Multi-phase motor M12 4-pin;;356404
14-1010053;541,10;Getriebemot. 0,05kW ABM mit H.;Drive motor 0.05kW ABM with hall effect sensor;;355677
14-1010054;248,20;Pumpe Wilo Yonos Para 180/25/7,5;Circulation pump 180/25/7.5;;355909
14-1010058;1.036,70;Schneckengetriebe RI 110 KWB R�hrwerk;Screw gear unit RI 110 KWB stirrer;;356028
14-1010067;411,30;Getriebemotor FGA103 0,05kW komplett;Gear unit motor FGA103 0.05kW complete;;356026
14-1010068;788,00;Saugzug L7KB4B-174;Induced draught L7KB4B-174;;356302
14-1010069;181,40;L�fterrad �300x70;Fan wheel �300x70;;356243
14-1010072;1.073,60;Saugturbine;suction turbine;;356450
14-1010074;38,40;L�fterrad Saugzug ebm f�r R2E210;;;356611
14-1010075;174,60;Schrittmotor mit Elektronik C3;;;356868
14-1010076;152,40;Schrittmotor mit Geber C4;;;356869
14-2000003;1.039,20;Saugzugventilator KLEIN TDS300 / Einbausatz f. IE1-Motor;Induced draught fan SMALL TDS300/assembly kit f. IE1 motor;Ventil. tiro succi�n PEQUE�O TDS300 / juego montaje motor IE1;354680
14-2000005;20,10;L�fterfl�gel f�r ABM, Baugr. 63;Fan vane for ABM;Paleta de ventilador para ABM;354681
14-2000008;25,40;L�fterhaube f�r ABM;Fan hood for ABM;Cubierta de ventilador para ABM;354683
14-2000010;29,20;Kondensator 6,3yF f�r SHV Saugzugventilator;Condenser 6.3yF for SHV induced draught fan;Condensador 6,3yF para vent. tiro de succi�n SHV;354684
14-2000012;538,90;Getriebemotor 0,05kW TDS Drehrostantrieb Stecker 214;Drive motor 0.05 kW TDS rotary gate drive connector 214        ;Motor parrilla giratoria TDS;354685
14-2000017;351,40;L�fterrad Saugzug, �260x80, (Bohr. = �14), ST(SW);Fan impeller, induced draught, �260x80, (dr.hole =�14), ST(SW);Rodete ventil. tiro succi�n, �260x80, (agujero = �14), ST(SW);354686
14-2000018;7,40;L�fterhaube f�r ABM-Stirnradgetriebemotor;Fan hood for ABM spur wheel back-geared motor;;356168
14-2000019;362,70;Getriebemotor KWB Saugsonde;Drive motor, KWB suction probe                                 ;Motor reductor sonda de aspiraci�n KWB;354687
14-2000020;30,80;Kondensator F48/3 0,68 KWB Saugsonde;Condenser F48/3 0.68 KWB suction probe;Condensador F48/3 0,68 sonda de aspiraci�n KWB;356220
14-2000022;1.186,00;Saugzugventilator KLEIN TDS300 / Einbausatz f. IE2-Motor;Induced draught fan LOW TDS300/mounting kit f. IE2 motor;Ventil. tiro succi�n PEQUE�O TDS300 / juego montaje motor IE2;354688
14-2000023;80,00;Heizelement 230V/1050W Leister IGNITER;Heating element 230V/1050W Leister IGNITER;Elemento calefactor 230V/1050W Leister IGNITER;354689
14-2000024;72,80;Schraubadapter  M14 Leister IGNITER;Screw adapter M14 Leister IGNITER;Adaptador roscado M14 Leister IGNITER;354690
14-2000029;29,10;Kondensator 5yF f�r FGA 53;Condenser 5yF for FGA 53;Condensador 5yF para FGA 53;354691
14-2000030;573,10;Motor GEO-M250C-KWB;Motor GEO-M250C-KWB;Motor GEO-M250C-KWB;354692
14-2000031;86,40;Hallsensor f�r FGA 53;Hall sensor for FGA 53;Sensor Hall para FGA 53;354693
14-2000033;495,70;Stirnradgetriebemotor 0,37kW MFII vm;Spur wheel back-geared motor 0.37kW MFII pre-assembled;Motor reductor de engranajes rectos 0,37kW MFII prem.;354694
14-2000044;49,90;Schleifkohle (2 Stk.)  f�r Saugturbine 14-1000108;Carbon brush (2 pcs.) for suction turbine 14-1000108;;355456
14-2000045;606,50;Sauger f�r Pellets vm.;;;356498
14-2000046;511,20;Stirnradgetriebemotor 0,37kW MFII vm;;;356573
14-2000047;601,70;Stirnradgetriebemotor 0,75kW MFII vm;;;356776
14-2000048;515,50;Stirnradgetriebemotor 0,37kW MFII FU vm;;;356687
14-2000050;1.186,00;Saugzugventilator KLEIN TDS300 / Einbausatz f. IE3-Motor;Suction draft fansmall TDS 300 / Installation kit f. IE3 engine;;356505
14-2000051;1.269,90;Saugzugventilator TDS300 Einbausatz IE3;;;356513
16-2000005;1.360,00;RLU-Messstrecke vm.;AAI measuring section pre-assem.;;354697
17-1000017;53,30;Steckschl�ssel 19mm galvanisch verzinkt;Socket wrench 19mm galvanised;Llave galvanizada  19mm;354698
17-1000020;9,70;Montagehilfeblech RA 5x80x434;Installation support plate FE 5x80x434;Chapa auxiliar de montaje sist. alim. 5x80x434;354699
17-1000021;14,80;Hebehilfe f�r Getriebe RI 130 KWB;Lifting aid for gear drives RI 130 KWB;Elevaci�n de RI 130 KWB;354700
17-1000041;89,40;Winkelblech Montagehilfe TDS 6x325,5x400;Angle plate installation aid TDS 6x325.5x400;�til de montaje - chapa para TDS TDS 6x325,5x400;354701
17-1000043;43,10;Drehteil Montagehilfe TDS L=70;Swivel plate installation aid TDS l=70;�til de montaje - pieza giratoria TDS L=70;354702
17-1000046;9,70;Bohrschablone SBZ;Drilling template SBZ                                          ;Plantilla de perforaci�n SBZ;354703
17-1010013;12,40;Transportblech;;;356507
18-1000035;538,10;Hartschalenkoffer;Hard carry case                                                ;Malet�n r�gido;354704
18-1000042;677,20;Servicekoffer KWB Easyfire, Deutsch;Service case KWB Easyfire, German;Malet�n de servicio KWB Easyfire, alem�n;354705
18-1000046;294,10;Stahlwinde 1,5to Wagenwinde;Steel hoist 1.5 tons lifting jack;Gato de acero para veh�culos 1,5 t;354708
18-1000065;48,50;Standleuchte Makita ML 120, ACCU 12V;Floor Lamp Makita ML 120                                       ;L�mpara de pie Makita ML 120;354710
18-1000067;2,10;Schwei�schirmgl�ser 09A1;Welding helmet glass 09A1;Cristales para careta de soldadura 09A1;354712
18-1000068;0,60;Schwei�schirmgl�ser Vorsatzglas Farblos;Header glass for welding helmet glass, clear;Cristales para careta de soldadura incoloros;354713
18-1000107;5,90;Schlackenhammer 450g;chipping hammer 450g                                           ;Martillo de pico 450g;354716
18-1000112;0,70;Elektrode EV 50 3,2/350;Electrode EV 50 3.2/350;Electrodo EV 50 3,2/350;354717
18-1000113;2,00;Elektrode EV 50 2,5/250;Electrode EV 50 2.5/250;Electrodo EV 50 2,5/250;354718
18-1000140;4,50;Trennscheibe 230x3mm;Cut-off wheel 230x3mm;Disco separador de 230x3mm;354720
18-1000142;3,60;Schruppscheibe 125x7mm;grinding wheel 125x7mm                                         ;Muela de desbaste 125x7mm;354721
18-1000149;13,70;Stichs�geblatt Metall, 10 St�ck Packung;Keyhole saw blade f. metal;Hoja de sierra de calar para metal;354725
18-1000203;79,00;Bohrer SDS plus 5-12mm, Kasette;Drill bit SDS plus 5-12mm;Broca SDS plus 5-12mm;354752
18-1000204;5,90;Bohrer SDS plus 6mm l=160mm;Drill bit SDS plus 6mm l=160 mm;Broca SDS plus 6mm l=160mm;354753
18-1000205;6,50;Bohrer SDS plus 8mm l=160mm;Drill bit SDS plus 8 mm l=160 mm                               ;Broca SDS plus 8mm l=160mm;354754
18-1000206;7,10;Bohrer SDS plus 10mm l=150mm;Drill bit SDS plus 10mm l=150mm;Broca SDS plus 10mm l=150mm;354755
18-1000207;23,60;Bohrer SDS plus 10mm l=400mm;Drill bit SDS plus 10mm l=400mm;Broca SDS plus 10mm l=400mm;354756
18-1000208;8,60;Bohrer SDS plus 12mm l=160mm;Drill bit SDS plus 12mm l=160 mm;Broca SDS plus 12mm l=160mm;354757
18-1000240;110,30;Gewindebohrer Satz M3-M12, Din 371 40�;screw tap set M3-M12                                           ;Juego de machos de roscar M3-M12;354762
18-1000267;3,20;Gabelringschl�ssel 6 mm;Combination spanner 6 mm;Llave combinada de 6 mm;354773
18-1000269;3,20;Gabelringschl�ssel 8 mm;Combination spanner 8 mm                                       ;Llave combinada de 8 mm;354774
18-1000271;3,40;Gabelringschl�ssel 10 mm;Combination spanner 10 mm                                      ;Llave combinada de 10 mm;354775
18-1000274;4,00;Gabelringschl�ssel 13 mm;Combination spanner 13 mm;Llave combinada de 13 mm;354776
18-1000275;4,20;Gabelringschl�ssel 14 mm;Combination spanner 14 mm;Llave combinada de 14 mm;354777
18-1000276;4,40;Gabelringschl�ssel 15 mm;Combination spanner 15 mm                                      ;Llave combinada de 15 mm;354778
18-1000283;5,90;Gabelringschl�ssel 22 mm;Combination spanner 22 mm;Llave combinada de 22 mm;354781
18-1000284;8,70;Gabelringschl�ssel 24 mm;Combination spanner 24 mm                                      ;Llave combinada de 24 mm;354782
18-1000285;11,60;Gabelringschl�ssel 27 mm;Combination spanner 27 mm;Llave combinada de 27 mm;354783
18-1000293;15,80;Ringratschenschl�ssel 8 mm;Ratchet ring spanner 8 mm;Llave poligonal de carraca de 8 mm;354786
18-1000294;17,10;Ringratschenschl�ssel 10 mm;Ratchet ring spanner 10 mm                                     ;Llave poligonal de carraca de 10 mm;354787
18-1000295;21,90;Ringratschenschl�ssel 13 mm;Ratchet ring spanner 13 mm                                     ;Llave poligonal de carraca de 13 mm;354788
18-1000297;2,30;Steckschl. Eins. 1/4"" 6mm;Socket spanner Insert 1/4"" 6mm;Llave de vaso vaso 1/4"" 6mm;354789
18-1000302;4,00;Steckschl. Eins. 1/4"" 11mm;Socket spanner Insert 1/4"" 11mm;Llave de vaso vaso 1/4"" 11mm;354793
18-1000303;2,10;Steckschl. Eins. 1/4"" 12mm;Socket spanner Insert 1/4"" 12mm;Llave de vaso vaso 1/4"" 12mm;354794
18-1000313;3,20;Steckschl. Eins. 1/2"" 10mm;Socket spanner Insert 1/2"" 10mm;Llave de vaso vaso 1/2"" 10mm;354798
18-1000314;3,20;Steckschl. Eins. 1/2"" 13mm;Socket spanner Insert 1/2"" 13mm;Llave de vaso vaso 1/2"" 13mm;354799
18-1000315;3,80;Steckschl. Eins. 1/2"" 17mm;Socket spanner Insert 1/2"" 17mm;Llave de vaso vaso 1/2"" 17mm;354800
18-1000317;4,50;Steckschl. Eins. 1/2"" 19mm;Socket spanner Insert 1/2"" 19mm;Llave de vaso vaso 1/2"" 19mm;354802
18-1000318;6,50;Steckschl. Eins. 1/2"" 22mm;Socket spanner Insert 1/2"" 22mm;Llave de vaso vaso 1/2"" 22mm;354803
18-1000320;9,50;Steckschl. Eins. 1/2"" 27mm;Socket spanner Insert 1/2"" 27mm;Llave de vaso vaso 1/2"" 27mm;354805
18-1000321;10,40;Steckschl. Eins. 1/2"" 30mm;Socket spanner Insert 1/2"" 30mm;Llave de vaso vaso 1/2"" 30mm;354806
18-1000322;10,70;Steckschl. Eins. 1/2"" 17mm, lange Ausf�hrung;Socket spanner Insert 1/2"" 17mm;Llave de vaso vaso 1/2"" 17mm;354807
18-1000323;15,30;Steckschl. Eins. 1/2"" 16mm, lange Ausf�hrung;Socket spanner Insert 1/2"" 16mm;Llave de vaso vaso 1/2"" 16mm;354808
18-1000325;7,40;Verl�ngerung 1/2"" 75mm;Extension 1/2"" 75mm;Prolongaci�n de 1/2"" 75mm;354810
18-1000327;14,10;Kardangelenk 1/2"";Universal joint 1/2"";Junta card�n de 1/2"";354812
18-1000328;9,30;Schiebegriff 1/2"";Push handle 1/2"";Mango de 1/2"";354813
18-1000338;24,30;Splintentreiber Satz 6tlg;Splint pin drive set 6-part;Juego de extractores de pasadores 6 uds.;354816
18-1000339;2,10;K�rner 8kant.;Centre punch, octagonal                                        ;Punz�n octogonal;354817
18-1000345;9,10;Nylon Schutzbrille;Nylon safety goggles;Gafas protectoras de nailon;354819
18-1000352;0,40;Einweg Geh�rschutz  1 Paar;Disposable ear protection 1 pair;Protecci�n auditiva desechable, 1 par;354823
18-1000354;15,60;Schlagschnurger�t;Chalk line marker                                              ;Hilo para marcar;354824
18-1000355;5,70;Farbpuder ""rot"";Coloured powder ""red""                                          ;Polvo ""rojo"";354825
18-1000356;0,50;Zimmermanns-Bleistift;Carpenters pencil;L�piz de carpintero;354826
18-1000369;6,80;Ersatzlampe Standleucht Makita 12V, 2Stk. je Packung;replacement bulb floor lamp Makita                             ;Bombilla de repuesto para l�mpara de pie Makita;354834
18-1000373;12,80;Hands�gebogen Metall, Blattl�nge 300mm;Manual saw bow metal;Arco de sierra manual metal;354837
18-1000374;1,30;Hands�geblatt bi-Metall, Blattl�nge 300mm;Manual saw blade bi-metal;Hoja de sierra manual bimetal;354838
18-1000394;40,00;Feinl�tkolben ERSA 25Watt;Fine soldering iron ERSA 25 watts                              ;Soldador fino ERSA 25 vatios;354841
18-1000406;12,10;Sich. Ringzg. au�en 19-60mm;Safety circlip pliers external 19-60 mm ;Fus. tiro anular ext. 19-60mm;354844
18-1000408;4,20;Universalhalter mit Magnet f�r Bits;Universal holder with magnet;Soporte universal con im�n;354845
18-1000412;0,50;Bit PH 1 kurz;Bit PH 1 short                                                 ;Punta PH 1 corta;354846
18-1000413;0,50;Bit PH 2 kurz;Bit PH 2 short                                                 ;Punta PH 2 corta;354847
18-1000414;0,60;Bit PH 1 lang;Bit PH 1 long                                                  ;Punta PH 1 larga;354848
18-1000415;0,60;Bit PH 2 lang;Bit PH 2 long                                                  ;Punta PH 2 larga;354849
18-1000416;0,70;Bit f�r Innen Torx TX 15;Bit for internal torx TX 15;Punta para Torx interior TX 15;354850
18-1000418;0,70;Bit f�r Innen Torx TX 25;Bit for internal torx TX 25;Punta para Torx interior TX 25;354852
18-1000419;0,70;Bit f�r Innen Torx TX 30;Bit for internal torx TX 30;Punta para Torx interior TX 30;354853
18-1000420;0,70;Bit f�r Innen Torx TX 40;Bit for internal torx TX 40;Punta para Torx interior TX 40;354854
18-1000421;0,50;Bit PH 3 kurz;Bit PH 3 short                                                 ;Punta PH 3 corta;354855
18-1000433;19,60;B�rste d=52mm, SHV Gesamtl�nge 1200mm;Brush d=52mm, SHV total length 1200mm;Cepillo d=52mm, SHV longitud total 1200mm;354858
18-1000434;27,00;Reinigungsb�rste SHV d=28mm;cleaning brush SHV                                             ;Cepillo de limpieza SHV d=28mm;354859
18-1000435;59,50;Sch�rger�t SHV;Poking device SHV;Dispositivo de exploraci�n SHV;354860
18-1000436;73,90;Ascheschaufel  SHV;ash shovel SHV                                                 ;Pala de cenizas SHV;354861
18-1000437;1,50;Stahldrahtb�rste 4Rhg. 295mm;Steel wire brush 4 rows 295mm;Cepillo de alambre de acero 4 hileras 295mm;354862
18-1000439;3,90;Plastik�ler MS Rohr;Plastic oil can MS tube;Lubricador de pl�stico tubo MS;354863
18-1000444;13,70;Ausblaspistole f�r Kompressor;Blow-out gun                                                   ;Pistola de soplado;354864
18-1000447;48,50;Flutlichtstrahler mit St�nder;Floodlight reflector lamp with stand                           ;Proyector de alumbrado con pie de apoyo;354865
18-1000454;3,60;Kehrschaufel aus Stahl verzinkt;Dustpan ad brush, galvanised steel;Pala de acero galvanizado;354866
18-1000461;67,80;Gardena Comfort Schlauch 1/2"" 50lfm;Gardena Comfort hose 1/2"" 5 continuous meters;Manguera Gardena Comfort 1/2"" 50 ml;354867
18-1000464;14,80;Winkelschraubendreher SET, mit Kugelkopf 1,5-10;Offset screwdriver SET                                         ;Destornillador acodado SET;354870
18-1000466;0,70;Winkelschraubendreher 2mm, mit Kugelkopf;Offset screwdriver 2mm;Destornillador acodado 2mm;354871
18-1000479;7,30;Schraubendreher 5,5x1x125;Screwdriver 5.5x1x125                                          ;Destornillador 5,5x1x125;354875
18-1000484;3,40;Faustschraubendreher PH2;Fist-grip screwdriver PH2                                      ;Destornillador corto PH2;354877
18-1000486;8,80;Schraubendreher PH 2;Screwdriver PH 2                                               ;Destornillador PH 2;354879
18-1000488;4,80;Schraubendreher Inbus Kugelk. 3 mm;Screw driver Inbus spherical head 3 mm;Destorn. Allen. articul. 3 mm;354880
18-1000489;5,60;Schraubendreher Inbus Kugelk. 4 mm;Screw driver Inbus spherical head 4 mm;Destorn. Allen. articul. 4 mm;354881
18-1000495;8,00;6KT. Steckschl 10 mm, mit Heft;hexagon socket spanner 10 mm;Llave de vaso hexagonal 10 mm;354884
18-1000496;9,80;6KT. Steckschl 13 mm, mit Heft;hexagon socket spanner 13 mm;Llave de vaso hexagonal 13 mm;354885
18-1000497;1,60;Innensechskantschl�ssel USP 10-30KW;Allen key USP 10-30kW                                          ;Llave Allen USP 10-30KW;354886
18-1000501;10,00;Bits1/4"" Sechskant SW 13;Bits 1/4"" hexagon SW 13;Puntas 1/4"" hexagonales SW 13;354890
18-1000504;14,80;Universal-Gripzange  250mm;Universal locking pliers 250 mm                                ;Pinzas de presi�n universales 250mm;354893
18-1000505;32,60;Telefonzange gerade 250mm, VDE Isoliert;Telephone pliers straight 250 mm                               ;Alicates de punta recta 250mm;354894
18-1000529;12,60;Schlosserhammer m. Stiel 500g;Peen hammer with shaft 500g                                    ;Martillo de cerrajero con mango 500g;354901
18-1000532;25,90;Schlosserhammer m. Stiel 1500g;Peen hammer with shaft 1500g                                   ;Martillo de cerrajero con mango 1500g;354902
18-1000536;38,90;Hammer R�ckschlagfrei 50mm, NYLON;Recoilless hammer 50 mm                                        ;Martillo antirretorno 50mm;354903
18-1000581;6,30;Ersatzlampe Hilti SFL12/15;Replacement lamp Hilti SFL 12/15;Bombilla de repuesto Hilti SFL12/15;354904
18-1000590;5,70;Werkzeug zum L�sen von Thermostat Oventrop;Tool to be separated from thermostat Oventrop;Herramienta para soltar el termostato Oventrop;354906
18-1000592;1.196,80;Servicekoffer KWB Multifire, deutsch;Service case KWB Multifire, German;Malet�n de servicio KWB Multifire, alem�n;354907
18-1000594;0,70;Elektrode B�hler Fox NUT 3,2/350mm  Elektrode;Electrode B�hler Fox GROOVE 3.2/350 mm electrode               ;Electrodo B�hler Fox NUT 3,2/350mm;354909
18-1010004;35,20;Abdeckhaube Endschalter;Limit switch hood                                              ;Cubierta final de carrera;354910
18-1010043;22,80;Gest�nge;Linkage                                                        ;V�stago;354911
18-1010055;5,30;Bohrschablone Stokerkanal TDS;Drilling template, stoker channel TDS;�til de montaje- centrador cojinete 4 agujeros para stocker TDS;354912
18-1010056;19,60;Steckschl�ssel RA-Schnecke;Socket wrench, FE screw;Llave de vaso sinf�n sistema alimentaci�n;354913
18-1010058;109,00;Rohrfr�sewerkzeug;Pipe-milling tool                                              ;Dispositivo de fresado de tubos;354914
18-1010059;24,30;Schneide;Blade;Cuchilla;354915
18-1010086;42,40;Tragehilfe Unterbau ZSB;Carrying aid, ZSB substructure                                 ;�til Montaje EF2;354916
18-1010087;15,30;Servicehilfe Aschebeh�lter ZSB;Servicing aid, ZSB ash container                               ;Asistencia t�cnica contenedor de ceniza ensamblaje;354917
18-1010090;11,10;Hebehilfe;Lifting aid                                                    ;�til de elevaci�n;354918
18-1010105;27,20;Schneidfinger Reinigungswerkzeug;Cutting finger, cleaning tools;;355374
18-1010126;205,50;Reinigungswerkzeug kompl. ZSB;Cleaning tools compl. assembly;;354919
18-1010137;55,20;Wandkonsole mit Werkzeug;Wall bracket with tools;;355594
18-1010138;2,00;Absperrhilfe f�r Saugbeh�lter;Gate valve for suction tank;�til de bloqueo para contenedor de aspiraci�n;354920
18-1010164;10,70;Bohreraufnahme;Drill adapter;;355931
18-1010166;35,70;Stufenbohrer 4-20mm;Step drill 4-20mm;;355602
18-1010169;22,60;HSS Spiralbohrer m. F�hrung �12h8;HSS twist drill �12h8;;356253
18-1010170;26,70;Montagewerkzeug Wellendichtring;;;356587
18-1010173;72,00;Set ZRS Reperatur Werkzeug;;;357017
18-2000017;11,10;Schaltschrankschl�ssel f�r Hausanschlusskasten;Switching cabinet key for building connection cabinet          ;Llave armario distribuci�n para caja de conexiones dom�stica;354921
18-2000022;37,60;Pinseld�se Kunststoff 40 mm, f�r Ghibli;Brush nozzle plastic 40 mm                                     ;Boquilla de cepillo de pl�stico 40 mm;354924
18-2000023;66,70;Montagehilfe Set;Assembly aid set                                               ;Juego de ayuda para el montaje;354925
18-2000029;17,50;Sto�b�rstenkopf aus Federstahl-Flachdraht, �30cm;Brush head made from flat-wire spring steel, �30cm             ;Cabezal cepillo impacto alambre plano acero muelles, �30cm;354927
18-2000030;25,20;Sto�b�rstenkopf aus Federstahl-Flachdraht, �40cm;Brush head made from flat-wire spring steel, �40cm             ;Cabezal cepillo impacto alambre plano acero muelles, �40cm;354928
18-2000031;44,50;Kesselcimperling (Drahtstange), 300cm;Boiler cleaner (wire rod), 300cm                               ;Kesselcimperling (barra de alambre), 300cm;354929
18-2000032;19,60;Rohrb�rstenkopf - Rosshaarmischung, �15cm;Pipe brush head - horse-hair mixture, �15cm                    ;Cabezal de cepillo para tubos - mezcla cerda de caballo, �15cm;354930
18-2000034;5,80;Schraubendreher KS PZD Gr. 3;Screwdriver KS PZD size 3                                      ;Destornillador KS PZD gr. 3;354931
18-2000037;10,30;Steckschl. Eins. 1/2"" 28mm Bahco;Socket spanner Insert 1/2"" 28mm Bahco;Llave de vaso vaso 1/2"" 28mm Bahco;354932
18-2000038;2,80;Steckschl. Eins. 1/2"" 11 mm Bahco;Socket spanner Insert 1/2"" 11 mm Bahco;Llave de vaso vaso 1/2"" 11 mm Bahco;354933
18-2000039;2,80;Steckschl. Eins. 1/2"" 12 mm Bahco;Socket spanner Insert 1/2"" 12 mm Bahco;Llave de vaso vaso 1/2"" 12 mm Bahco;354934
18-2000041;3,20;Steckschl. Eins. 1/2"" 21mm Bahco;Socket spanner Insert 1/2"" 21mm Bahco;Llave de vaso vaso 1/2"" 21mm Bahco;354936
18-2000043;13,70;Gabelringschl�ssel 30 mm;Combination spanner 30 mm                                      ;Llave combinada de 30 mm;354938
18-2000044;15,80;Gabelringschl�ssel 32 mm;Combination spanner 32 mm;Llave combinada de 32 mm;354939
18-2000045;4,60;Schlitz-Schraubendreher 4,5mm;Flat-tip screwdriver 4.5mm;Destornillador plano 4,5mm;354940
18-2000046;9,00;Schlitz-Schraubendreher 7mm;Flat-tip screwdriver 7 mm                                      ;Destornillador plano 7mm;354941
18-2000047;2,10;Schraubendreher PH 0;Screwdriver PH 0                                               ;Destornillador PH 0;354942
18-2000050;3,40;Steckschl. Eins. 1/2"" 17mm;Socket spanner Insert 1/2"" 17mm;Llave de vaso vaso 1/2"" 17mm;354944
18-2000054;113,00;Reinigungsset f�r TDS150/300;Cleaning set for TDS150/300                                    ;Juego de limpieza para TDS150/300;354948
18-2000056;229,90;HM-Lochs�ge / Flachschnitt, �100mm;Hard metal hole saw / flat cut, �100mm;Sierra circular HM / corte plano, �100mm;354950
18-2000061;2,00;Gabelschl�ssel;Open-end spanner;;354952
18-2000098;8,60;Steckschl. Eins. 1/4"" T 25;Socket spanner Insert 1/4"" T 25;Llave de vaso vaso 1/4"" T 25;354955
18-2000108;749,90;Servicekoffer KWB Easyfire 2, Deutsch;Service case for KWB Easyfire 2, German;Malet�n de servicio KWB Easyfire 2, alem�n;354956
18-2000109;9,70;F�gend�se 16 cm 49 mm f�r Na�-u. Trockensauger;Grouting nozzle, 16 cm 49 mm for wet and dry vacuum;Boquilla ranurada 16 cm 49 mm aspirador seco y h�medo;354957
